"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_1018631_1018867",1973.15000692725,-11.7325194346873,2.63373415950987,-4.45470906481718,8.40070337512437e-06,0.000784865715333049
"Ga0573226_01_1019033_1020010",3.31877707423079,-1.76763172332435,3.15876540721108,-0.559595758295017,0.575755198764267,NA
"Ga0573226_01_1020029_1020667",13.7558369188405,-3.57067252444991,3.37832346655001,-1.0569362465745,0.290540684598123,NA
"Ga0573226_01_1020753_1021172",1.1809242698184,-0.0976880710175082,5.75883390748014,-0.0169631686877827,0.986465998670935,NA
"Ga0573226_01_1021247_1022023",4.46677133846082,-2.54067682869946,3.57496372811574,-0.71068604381018,0.477278809929682,NA
"Ga0573226_01_1022037_1023518",3.32943745854112,-0.761557369653872,3.35168635568622,-0.227216179808075,0.820255647031729,NA
"Ga0573226_01_1023685_1025088",9.67940923476531,-4.06025870321064,3.08694709972691,-1.31529908742843,0.188409404717831,NA
"Ga0573226_01_1025133_1025891",6.23045712920104,-2.77256376283966,3.12414578691967,-0.887462990507028,0.374829683151702,NA
"Ga0573226_01_1025911_1027335",4.0354228845436,-2.76057060549231,3.86372322714307,-0.714484564033731,0.474927597741823,NA
"Ga0573226_01_1027382_1027996",5.85901770466522,-3.36200920396086,3.54848205325173,-0.947449966917544,0.343409539934836,NA
"Ga0573226_01_102745_103266",1.48544474611417,-1.11384941213753,5.7302891533041,-0.194379268190207,0.845878921913348,NA
"Ga0573226_01_1028038_1029546",15.0988050758964,-4.71083771414399,3.51265604786069,-1.34110418155317,0.179886629858555,NA
"Ga0573226_01_1029612_1032599",11.5559279606423,-4.31225751118183,3.1158688694922,-1.38396630018792,0.166368773835604,NA
"Ga0573226_01_1032817_1033722",11.9249629992955,-4.38368136938689,3.52699698727551,-1.24289342610784,0.213907108496449,NA
"Ga0573226_01_103340_103819",51.1764820962262,-6.4884682220532,3.43521908774748,-1.88880768775298,0.0589176022906176,0.109001304787885
"Ga0573226_01_1033723_1034922",12.1581403084376,-4.40212196240543,3.54396734056434,-1.24214518345545,0.214183000328383,NA
"Ga0573226_01_1034995_1035957",21.6062595285127,-5.23543369058561,3.10625504150906,-1.68544875440819,0.0919020239638693,NA
"Ga0573226_01_1036131_1037288",6.59031334412527,-3.33853260034278,3.98053238001949,-0.838715096779702,0.401629204579519,NA
"Ga0573226_01_1037457_1037996",168.849600218466,2.40369839490071,1.88068615988207,1.27809649806294,0.201215403568883,0.269661626914036
"Ga0573226_01_1038185_1038967",377.901636330368,-6.91200523355496,2.81954269803547,-2.45146322429199,0.0142276724263812,0.0748144618102329
"Ga0573226_01_103830_104381",74.3996525494187,-7.0301012697915,3.33691001034997,-2.1067698103894,0.0351375375708814,0.0974551761556245
"Ga0573226_01_1039042_1039566",24.8993796717421,-5.19279384896384,3.41380501334272,-1.5211161237001,0.128230698950366,NA
"Ga0573226_01_1040116_1040493",20.302751251593,2.40625243075882,3.0979556651888,0.776722681282198,0.437322402219487,NA
"Ga0573226_01_1040611_1041504",9.17811401813454,-3.95680347115713,3.7711367129442,-1.04923363228271,0.294070603023088,NA
"Ga0573226_01_1041608_1043497",11.9914824880242,0.354063070548796,2.19211178622842,0.161516886489612,0.871686312473945,NA
"Ga0573226_01_1043507_1044028",117.900513129468,-7.66853372967134,3.22603547287117,-2.37707669185868,0.0174504595212191,0.0765946344085726
"Ga0573226_01_1044157_1044801",16.9649642042569,-4.81501718259934,3.81280858268539,-1.26285311160522,0.206641973316888,NA
